insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6412','25Q1',84.4,3.96,4.92,14.6,-2.15,-12.8,17.3,-3.53,5.75,-2.09,-26.6,6.81,-2.93,4.03,-2.78,-40.8,4.77,-3.69,1.01,-0.69,11,-9.9,4.76,-4.42);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6412','2024',372,8.66,2.38,74.9,-2.08,-2.7,20.2,-1.05,37.9,-1.66,-4.2,10.2,-0.7,33.4,0.46,1.41,8.99,-0.09,8.34,0.07,22.8,-2.08,10.4,-1.08);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6412','2023',363,-47.6,-11.6,77,0.71,0.93,21.2,2.63,39.6,0.44,1.12,10.9,1.37,32.9,0.48,1.48,9.07,1.17,8.27,0.05,24.9,-2.41,11.5,0.17);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6412','2022',411,7.02,1.74,76.3,4.9,6.87,18.6,0.89,39.2,4.66,13.5,9.54,0.99,32.5,4.19,14.8,7.91,0.9,8.22,1,27.3,-0.13,11.3,1.06);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6412','2021',404,55,15.8,71.4,7.19,11.2,17.7,-0.73,34.5,6.25,22.1,8.55,0.44,28.3,6.91,32.3,7.01,0.91,7.22,1.7,27.4,3.57,10.3,1.19);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6412','2020',349,4.48,1.3,64.2,7.85,13.9,18.4,2.04,28.3,6.26,28.4,8.11,1.71,21.4,4.16,24.2,6.1,1.11,5.52,1.01,23.8,1.89,9.06,1.19);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6412','2019',344,31.2,9.98,56.3,12.5,28.5,16.4,2.36,22,7.78,54.7,6.39,1.85,17.2,6.9,67,4.99,1.72,4.51,1.79,21.9,8.19,7.87,3.03);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6412','2018',313,34.2,12.3,43.8,-4.07,-8.49,14,-3.18,14.2,-2.11,-12.9,4.55,-1.32,10.3,-5.31,-34,3.27,-2.33,2.72,-1.49,13.7,-7.51,4.84,-3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6412','2017',279,4.55,1.66,47.9,2.12,4.63,17.2,0.49,16.3,1.96,13.6,5.86,0.62,15.6,2.21,16.5,5.6,0.73,4.21,0.5,21.3,1.85,7.84,0.74);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6412','2016',274,9.01,3.4,45.8,4.58,11.1,16.7,1.16,14.4,2.15,17.5,5.24,0.63,13.4,1.87,16.2,4.88,0.54,3.71,0.49,19.4,2.07,7.09,0.84);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6412','2015',265,-4.94,-1.83,41.2,2.33,5.98,15.5,1.15,12.2,1.36,12.5,4.61,0.59,11.5,0.26,2.27,4.33,0.17,3.22,0.06,17.3,-0.46,6.26,-0.14);
