insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4556','25Q1',1.42,-0.2,-12.5,0.5,0,0.04,35.1,4.4,0.03,0,15.5,2.11,0.51,0.01,0.03,159,0.68,1.71,0.02,0.06,0.46,1.28,0.24,0.66);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4556','2024',6.99,0.96,15.9,2.41,0.07,3.18,34.4,-4.23,0.41,0.03,7.83,5.89,-0.44,0.14,0.1,247,2.04,1.37,0.34,0.24,1.73,1.25,0.89,0.66);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4556','2023',6.04,-0.96,-13.7,2.33,-0.17,-6.93,38.6,2.81,0.38,-0.21,-35.2,6.33,-2.09,0.04,-0.29,-87.4,0.66,-4.02,0.1,-0.68,0.48,-3.55,0.23,-1.56);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4556','2022',6.99,1.09,18.4,2.51,0.39,18.7,35.8,0.09,0.59,0.27,87.5,8.42,3.1,0.33,0.2,164,4.68,2.59,0.78,0.48,4.04,2.46,1.79,1.08);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4556','2021',5.91,0.82,16,2.11,0.07,3.2,35.7,-4.44,0.31,0.03,9.38,5.32,-0.32,0.12,-0.08,-40.4,2.09,-1.99,0.3,-0.2,1.58,-1.06,0.71,-0.75);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4556','2020',5.09,0.09,1.72,2.05,-0.14,-6.56,40.2,-3.56,0.29,-0.24,-46,5.64,-4.98,0.21,-0.2,-48.6,4.08,-4,0.5,-0.5,2.63,-3.02,1.46,-2.13);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4556','2019',5,0.04,0.78,2.19,-0.02,-1.11,43.7,-0.84,0.53,-0.24,-31.5,10.6,-5.01,0.4,-0.22,-34.7,8.08,-4.4,1,-0.76,5.65,-4.47,3.59,-2.35);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4556','2018',4.97,0.89,21.8,2.21,0.52,30.6,44.6,3,0.78,0.55,239,15.6,10,0.62,0.48,337,12.5,9,1.76,1.36,10.1,7.73,5.94,4.53);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4556','2017',4.08,0.42,11.4,1.7,0.11,6.96,41.6,-1.74,0.23,0.18,334,5.61,4.17,0.14,0.02,12,3.48,0.02,0.4,0.04,2.4,0.32,1.41,0.07);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4556','2016',3.66,-0.36,-8.86,1.59,-0.11,-6.73,43.3,0.99,0.05,-0.22,-81,1.44,-5.46,0.13,-0.16,-55.6,3.46,-3.65,0.36,-0.53,2.08,-2.92,1.35,-2.37);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4556','2015',4.01,0.12,2.95,1.7,-0.04,-2.45,42.3,-2.34,0.28,-0.13,-32.1,6.9,-3.56,0.29,-0.09,-24,7.11,-2.53,0.89,-0.41,5,-3.43,3.72,-2.72);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4556','2014',3.9,-0.04,-1.05,1.74,-0.07,-3.98,44.7,-1.36,0.41,-0.14,-25.1,10.5,-3.36,0.38,-0.09,-19,9.64,-2.14,1.3,-0.39,8.43,-3.98,6.43,-2.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4556','2013',3.94,null,null,1.81,null,null,46,null,0.54,null,null,13.8,null,0.46,null,null,11.8,null,1.69,null,12.4,null,8.93,null);
