insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','25Q1',0.01,-0.01,-43.6,0.01,-0.01,-57.6,64.5,-21.3,-0.15,-0.08,-100,-1032,-741,-0.15,-0.1,-218,-982,-808,-0.11,-0.08,-5.09,-3.72,-4.39,-3.18);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','2024',0.11,0.02,25.6,0.09,0.01,12.9,81.3,-9.19,-0.51,0.02,3.39,-476,143,-0.37,0.05,11.4,-347,145,-0.27,0.03,-2.96,0.58,-2.58,0.47);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','2023',0.08,-0.05,-35.1,0.08,-0.04,-34.6,90.5,0.72,-0.53,-0.06,-11.9,-619,-260,-0.42,1.89,81.9,-492,1269,-0.3,1.35,-3.54,16.8,-3.05,14.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','2022',0.13,-0.01,-6.77,0.12,-0.01,-8.85,89.8,-2.05,-0.47,-0.14,-40.4,-359,-121,-2.31,-2.38,-3433,-1761,-1810,-1.65,-1.7,-20.3,-21,-17.5,-18.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','2021',0.14,-0.01,-6.68,0.13,-0.01,-8.1,91.8,-1.42,-0.33,-0.13,-65.5,-238,-104,0.07,0.28,132,48.4,191,0.05,0.22,0.65,3.12,0.56,2.62);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','2020',0.15,-0.06,-29.1,0.14,-0.06,-29.7,93.3,-0.78,-0.2,-0.03,-19.2,-134,-54.4,-0.21,-0.42,-204,-142,-240,-0.17,-0.33,-2.47,-4.78,-2.06,-4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','2019',0.21,-0.09,-29.6,0.2,-0.08,-29.8,94,-0.36,-0.17,-0.09,-121,-80,-54.5,0.21,0.33,268,97.4,138,0.16,0.26,2.31,3.66,1.94,3.08);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','2018',0.3,-0.05,-13.5,0.28,-0.04,-11.9,94.4,1.7,-0.08,-0.05,-180,-25.5,-17.6,-0.12,-0.13,-1808,-40.8,-42.8,-0.1,-0.11,-1.35,-1.43,-1.14,-1.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','2017',0.35,0.05,18.5,0.32,0.06,20.6,92.7,1.62,-0.03,0.03,51.6,-7.88,11.4,0.01,0.07,112,2.06,22.7,0.01,0.06,0.08,0.72,0.07,0.61);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','2016',0.29,-0.01,-1.81,0.27,0,1.09,91.1,2.62,-0.06,0,0.77,-19.3,-0.2,-0.06,-0.02,-67.9,-20.7,-8.58,-0.05,-0.02,-0.65,-0.26,-0.55,-0.22);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','2015',0.3,0.03,11.3,0.26,0.03,11.8,88.4,0.38,-0.06,0.02,21,-19.1,7.82,-0.04,-0.02,-119,-12.1,-5.93,-0.03,-0.02,-0.38,-0.21,-0.32,-0.18);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','2014',0.27,0.03,12.4,0.24,0.03,16.5,88.1,3.1,-0.07,0.06,46.5,-26.9,29.6,-0.02,0.1,85.3,-6.15,40.8,-0.01,0.08,-0.17,1.01,-0.15,0.85);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','2013',0.24,0.01,3.19,0.2,0.01,4.62,85,1.17,-0.14,0.08,38,-56.6,37.5,-0.11,-0.12,-1194,-47,-51.4,-0.09,-0.1,-1.18,-1.29,-1,-1.09);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','2012',0.23,-0.01,-4.77,0.19,0,-1.47,83.8,2.8,-0.22,-0.09,-72.6,-94.1,-42.2,0.01,0.05,127,4.43,20.3,0.01,0.04,0.11,0.51,0.09,0.43);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','2011',0.24,-0.11,-30.3,0.2,-0.01,-2.54,81,23,-0.13,-0.02,-16.9,-51.9,-20.9,-0.04,-3.34,-101,-15.9,-961,-0.03,-2.66,-0.4,-41.9,-0.34,-28.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','2010',0.35,0.11,44,0.2,0.01,3.77,58,-22.5,-0.11,0.12,52.8,-31,63.5,3.3,3.7,935,945,1108,2.63,2.96,41.5,47.8,27.9,31);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','2009',0.24,-0.69,-74.1,0.2,-0.03,-13.3,80.4,56.4,-0.23,-0.13,-130,-94.4,-83.8,-0.4,-0.35,-833,-163,-162,-0.33,-0.29,-6.33,-6.22,-3.13,-3.08);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','2008',0.94,0.33,55.3,0.23,-0.02,-8.11,24,-16.6,-0.1,-0.01,-10.5,-10.6,4.32,-0.04,-0.18,-131,-0.74,-17.4,-0.04,-0.25,-0.11,-1.79,-0.06,-0.88);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','2007',0.6,-0.2,-25,0.25,0.12,88.7,40.6,24.5,-0.09,0.19,68.3,-15,20.5,0.14,6.06,102,16.6,813,0.21,5.51,1.67,75,0.82,40.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','2006',0.8,0.13,20.2,0.13,-0.07,-34,16.2,-13.3,-0.28,-0.03,-12.7,-35.4,2.34,-5.92,-6.02,-6012,-797,-799,-5.3,-5.39,-73.3,-73.5,-40,-40.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','2005',0.67,0.42,167,0.2,0.1,112,29.4,-7.58,-0.25,0.16,38.3,-37.7,125,0.1,1.09,110,2.42,null,0.09,0.99,0.14,9.36,0.08,4.65);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','2004',0.25,-5.62,-95.7,0.09,-0.16,-62.8,37,32.8,-0.41,-0.23,-132,-163,-160,-0.99,-1.21,-556,null,null,-0.9,-1.1,-9.22,-11.3,-4.57,-5.55);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1435','2003',5.87,-1.76,-23.1,0.25,-0.04,-15.2,4.25,0.39,-0.18,0.09,33.3,-3,0.46,0.22,1.12,124,null,null,0.2,1.05,2.06,9.86,0.98,4.86);
