insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1444','25Q1',19.3,-1.4,-6.75,0.42,-0.31,-42.7,2.17,-1.37,-1.08,-0.33,-43.6,-5.58,-1.96,-0.29,-2.71,-112,-2.74,-14.7,-0.03,-0.27,-1.74,-9.96,-1.02,-6.17);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1444','2024',82.7,1.21,1.48,2.4,2.91,577,2.91,3.52,-3.87,2.04,34.5,-4.68,2.57,2.73,5.46,200,2.98,6.84,0.28,0.56,2.04,4.66,1.25,2.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1444','2023',81.5,-40.9,-33.4,-0.5,-11,-105,-0.62,-9.22,-5.9,-6.32,-1532,-7.24,-7.58,-2.73,-7.63,-156,-3.87,-7.7,-0.28,-0.79,-2.62,-6.51,-1.65,-4.01);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1444','2022',122,13.6,12.5,10.5,-2.52,-19.3,8.6,-3.39,0.41,-1.68,-80.3,0.34,-1.59,4.9,-1.59,-24.5,3.83,-2.17,0.51,-0.17,3.89,-1.68,2.36,-1.06);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1444','2021',109,25,29.9,13,9.27,245,12,7.48,2.1,4.6,184,1.93,4.91,6.49,10.1,282,6,11.1,0.68,1.06,5.57,9.31,3.43,5.82);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1444','2020',83.7,-36.3,-30.3,3.78,-4.25,-52.9,4.51,-2.17,-2.5,-3.54,-341,-2.99,-3.85,-3.57,-4.1,-780,-5.07,-4.55,-0.38,-0.44,-3.73,-3.18,-2.4,-2.06);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1444','2019',120,-8.74,-6.78,8.03,-1.04,-11.4,6.69,-0.35,1.04,-0.78,-42.9,0.86,-0.55,0.53,-3.63,-87.3,-0.53,-3.39,0.06,-0.38,-0.55,-3.63,-0.34,-2.31);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1444','2018',129,17.8,16,9.07,0.9,11,7.04,-0.31,1.82,0.8,79,1.41,0.5,4.16,4.29,3313,2.87,3.3,0.44,0.45,3.08,3.49,1.96,2.22);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1444','2017',111,14.9,15.5,8.17,1.21,17.5,7.35,0.12,1.02,-0.19,-15.6,0.91,-0.34,-0.13,-0.76,-121,-0.43,-1.16,-0.01,-0.08,-0.41,-0.99,-0.25,-0.62);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1444','2016',96.1,-7.96,-7.65,6.95,-1.25,-15.3,7.23,-0.65,1.2,-1.93,-61.6,1.25,-1.76,0.63,-3.43,-84.5,0.72,-3.2,0.07,-0.36,0.59,-2.76,0.37,-2.02);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1444','2015',104,-11.2,-9.75,8.21,3.41,71,7.88,3.72,3.13,3.67,677,3.01,3.48,4.06,1.89,87.3,3.93,1.92,0.43,0.2,3.35,1.45,2.39,0.91);
