insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2027','25Q1',261,28.6,12.3,59.2,19.4,48.7,22.7,5.56,30.8,17.2,126,11.8,5.94,15.5,4.67,43.1,7.15,0.93,0.67,0.2,9.16,1.62,5.2,0.96);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2027','2024',904,-109,-10.7,171,-23.7,-12.2,18.9,-0.31,61.1,-27.4,-31,6.76,-1.98,35.4,-17.9,-33.6,5.22,-1.5,1.53,-0.77,6.12,-3.06,3.46,-1.38);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2027','2023',1013,-129,-11.3,195,-116,-37.3,19.2,-7.98,88.6,-96.7,-52.2,8.75,-7.48,53.3,-66.9,-55.7,6.73,-5.89,2.3,-3.93,9.18,-13.3,4.84,-6.43);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2027','2022',1141,173,17.8,310,19.7,6.77,27.2,-2.81,185,-4.1,-2.17,16.2,-3.32,120,23.5,24.3,12.6,0.68,6.23,0.47,22.4,-2.86,11.3,0.11);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2027','2021',969,377,63.6,291,201,225,30,14.9,189,171,939,19.5,16.5,96.7,102,1787,11.9,12.1,5.76,6.2,25.3,25.6,11.2,11.3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2027','2020',592,-186,-23.9,89.3,-53.5,-37.5,15.1,-3.26,18.2,-35.8,-66.3,3.08,-3.87,-5.73,-23.9,-131,-0.17,-3.24,-0.44,-1.93,-0.28,-6.29,-0.1,-2.49);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2027','2019',779,-58.4,-6.97,143,-39.3,-21.6,18.3,-3.41,54.1,-38.5,-41.6,6.94,-4.11,18.2,-42.2,-69.9,3.07,-4.89,1.49,-4.34,6.01,-15.8,2.39,-6.27);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2027','2018',837,193,29.9,182,68.1,59.8,21.8,4.06,92.6,45.4,96.4,11.1,3.74,60.4,49.5,455,7.96,5.73,5.83,4.58,21.8,12.9,8.66,5.85);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2027','2017',644,167,34.9,114,41.1,56.5,17.7,2.44,47.1,28.5,153,7.31,3.42,10.9,6.02,124,2.23,0.83,1.25,0.64,8.96,4.58,2.8,1.36);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2027','2016',477,-29.3,-5.78,72.9,19,35.2,15.3,4.63,18.6,16.2,684,3.89,3.43,4.86,7.74,269,1.41,1.73,0.61,0.97,4.38,5.42,1.45,1.81);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2027','2015',507,-1.33,-0.26,53.9,-35.1,-39.5,10.6,-6.88,2.37,-31.7,-93,0.47,-6.23,-2.88,-21.7,-115,-0.33,-4.52,-0.36,-2.8,-1.04,-15,-0.36,-5.44);
