insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8472','25Q1',0.81,-0.05,-6.26,0.46,-0.09,-16,56.7,-6.54,-0.16,0.14,46,-19.9,14.7,-0.18,0.12,40.8,-22,12.8,-1.01,0.69,-25.9,8.74,-7.3,3.55);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8472','2024',3.37,-0.51,-13.2,2.12,-0.7,-24.8,62.9,-9.67,-0.78,0.12,13.5,-23.1,0.07,-0.78,-0.27,-51.4,-23.3,-9.94,-4.42,-1.5,-24.2,-10.9,-7.19,-2.86);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8472','2023',3.89,0.57,17.2,2.82,0.02,0.61,72.5,-11.9,-0.9,-0.24,-37,-23.2,-3.36,-0.52,0.31,37.3,-13.3,12.4,-2.92,1.74,-13.3,4.79,-4.33,3.22);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8472','2022',3.32,0.26,8.6,2.8,-0.04,-1.34,84.5,-8.52,-0.66,-0.52,-377,-19.8,-15.3,-0.83,-0.93,-867,-25.7,-29.2,-4.66,-5.27,-18.1,-20.1,-7.55,-8.51);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8472','2021',3.05,-1.09,-26.3,2.84,-1.05,-27,93,-0.91,-0.14,-0.68,-125,-4.52,-17.6,0.11,-0.36,-77.1,3.48,-7.85,0.61,-2,1.96,-6.44,0.96,-3.06);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8472','2020',4.14,-0.3,-6.82,3.89,-0.3,-7.08,93.9,-0.26,0.54,0.17,44.3,13.1,4.63,0.47,0.12,33.7,11.3,3.44,2.61,0.76,8.4,2.3,4.02,1.08);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8472','2019',4.45,0.07,1.53,4.19,0.08,1.92,94.2,0.36,0.38,0.42,861,8.44,9.57,0.35,0.3,639,7.89,6.81,1.85,1.62,6.1,5.31,2.94,2.56);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8472','2018',4.38,-1,-18.5,4.11,-1.02,-19.9,93.8,-1.6,-0.05,-0.5,-111,-1.13,-9.6,0.05,-0.4,-89.4,1.08,-7.23,0.23,-1.97,0.79,-6.51,0.38,-3.04);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8472','2017',5.38,-0.3,-5.22,5.13,-0.24,-4.39,95.4,0.82,0.46,-0.24,-34.5,8.47,-3.79,0.45,-0.18,-28.5,8.31,-2.7,2.2,-0.89,7.3,-5.94,3.42,-1.87);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8472','2016',5.67,-0.43,-6.99,5.36,-0.34,-5.91,94.6,1.09,0.7,-0.26,-27.2,12.3,-3.41,0.62,-0.27,-29.9,11,-3.61,3.09,-1.92,13.2,-14.7,5.29,-3.53);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8472','2015',6.1,0.18,3.09,5.7,0.16,2.83,93.5,-0.23,0.96,0.09,10.4,15.7,1.03,0.89,0.06,7.31,14.6,0.58,5.01,0.17,28,-2.52,8.82,-0.05);
