insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5015','25Q1',4.03,0.6,17.4,0.75,0.27,56.2,18.5,4.59,0.2,0.2,4777,4.98,4.86,0.3,-0.17,-36.3,7.33,-6.18,0.49,-0.27,8.52,-4.94,4.41,-2.97);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5015','2024',15.6,0.26,1.66,3.07,0.25,9.01,19.7,1.33,1.01,-0.01,-0.9,6.44,-0.17,1.52,0.71,87.3,9.76,4.46,2.51,1.17,11.2,5.71,5.95,2.68);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5015','2023',15.4,-12,-43.8,2.82,-6.15,-68.6,18.3,-14.5,1.02,-5.12,-83.5,6.61,-15.9,0.81,-4.92,-85.8,5.3,-15.7,1.34,-8.12,5.47,-34.9,3.27,-20.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5015','2022',27.3,3.03,12.5,8.97,2.98,49.7,32.8,8.16,6.14,2.75,81.4,22.5,8.53,5.74,3.25,131,21,10.8,9.46,5.36,40.4,19.3,23.7,12.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5015','2021',24.3,3.01,14.2,5.99,2.49,70.9,24.7,8.19,3.38,1.74,105,13.9,6.18,2.49,1.31,112,10.2,4.72,4.1,2.16,21.1,10.9,11.7,5.76);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5015','2020',21.3,-2.92,-12.1,3.51,-0.36,-9.32,16.5,0.5,1.65,-0.19,-10.5,7.75,0.14,1.17,-0.27,-18.6,5.52,-0.44,1.94,-0.44,10.2,-1.6,5.9,-1.04);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5015','2019',24.2,-2.01,-7.66,3.87,-1.68,-30.3,16,-5.19,1.84,-1.5,-44.9,7.61,-5.14,1.44,-1.6,-52.6,5.96,-5.66,2.38,-2.64,11.8,-13.4,6.94,-8.3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5015','2018',26.2,1.73,7.08,5.55,0.67,13.7,21.2,1.22,3.34,0.57,20.4,12.8,1.41,3.05,1.02,50.4,11.6,3.35,5.02,1.68,25.1,7.17,15.2,3.83);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5015','2017',24.5,2.32,10.5,4.88,0.71,17.1,20,1.14,2.78,0.67,31.8,11.3,1.83,2.03,0.23,12.8,8.28,0.17,3.34,0.38,18,1.3,11.4,0.42);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5015','2016',22.1,1.48,7.14,4.17,0.68,19.7,18.8,1.97,2.11,0.52,32.5,9.51,1.82,1.8,0.33,22.1,8.11,0.99,2.96,0.53,16.7,2.96,11,1.88);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5015','2015',20.7,-6.58,-24.1,3.48,-1.01,-22.5,16.8,0.36,1.59,-0.54,-25.5,7.69,-0.14,1.47,-0.79,-34.8,7.11,-1.17,2.43,-1.29,13.7,-8.55,9.11,-4.43);
