insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8059','25Q1',1.8,1.2,200,-0.41,-0.47,-799,-23,-32.8,-1.05,-0.7,-200,-58.3,0.08,-1.11,-1.08,-3128,-61.7,-56,-0.57,-0.55,-29,-28.3,-14,-13.6);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8059','2024',4.11,-1.45,-26.1,-1.64,-2.75,-248,-39.9,-59.9,-3.83,-2.82,-280,-93,-74.9,-3.55,-3.62,-5380,-86.3,-87.5,-1.84,-1.88,-20.3,-20.7,-12.2,-12.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8059','2023',5.56,-5.89,-51.4,1.11,-0.61,-35.5,20,4.93,-1.01,-0.77,-328,-18.1,-16.1,0.07,-0.1,-58.8,1.21,-0.21,0.04,-0.05,0.36,-0.52,0.24,-0.35);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8059','2022',11.5,-5.47,-32.3,1.72,1.52,747,15,13.8,-0.24,1.32,84.9,-2.05,7.14,0.16,1.67,111,1.42,10.3,0.09,0.89,0.88,8.75,0.6,6.32);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8059','2021',16.9,3.97,30.7,0.2,-0.75,-78.8,1.2,-6.19,-1.56,-0.9,-138,-9.19,-4.14,-1.51,-1.43,-1905,-8.9,-8.32,-0.8,-0.76,-7.87,-7.49,-5.72,-5.46);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8059','2020',13,-13.6,-51.2,0.96,-0.72,-42.9,7.39,1.07,-0.66,-0.92,-349,-5.06,-6.05,-0.08,-0.29,-134,-0.58,-1.4,-0.04,-0.27,-0.38,-2.08,-0.26,-1.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8059','2019',26.5,10.4,64.9,1.68,1.54,1143,6.32,5.48,0.26,1.86,117,0.99,10.9,0.22,1.75,114,0.82,10.4,0.23,2.01,1.7,24.8,0.93,11.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8059','2018',16.1,5.96,58.8,0.13,0.22,267,0.84,1.64,-1.59,0.14,8.08,-9.9,7.2,-1.53,-0.18,-13.6,-9.53,3.79,-1.78,-0.21,-23.1,-7.21,-10.5,-0.74);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8059','2017',10.1,-0.65,-6.02,-0.08,-1.41,-106,-0.8,-13.1,-1.73,-1.13,-189,-17.1,-11.5,-1.35,-1.19,-747,-13.3,-11.8,-1.57,-1.38,-15.9,-14.3,-9.76,-8.62);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8059','2016',10.8,-7.6,-41.4,1.33,-1.67,-55.7,12.3,-3.99,-0.6,-1.36,-179,-5.56,-9.68,-0.16,-1.17,-116,-1.48,-6.95,-0.19,-1.32,-1.63,-11.5,-1.14,-7.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8059','2015',18.4,-3.87,-17.4,2.99,-0.9,-23,16.3,-1.19,0.76,-0.54,-41.7,4.12,-1.72,1.01,-0.41,-28.9,5.47,-0.88,1.13,-0.42,9.92,-5.05,6.57,-2.73);
