insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9919','25Q1',6.78,-0.41,-5.72,0.52,-0.38,-42,7.67,-4.8,-0.94,-0.34,-57.5,-13.8,-5.54,0.49,1.43,152,7.19,20.3,0.25,0.73,7.42,20.5,2.97,7.87);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9919','2024',29.4,-0.01,-0.03,3.42,2.16,171,11.6,7.34,-2.74,2.12,43.7,-9.32,7.21,-3.68,-10.3,-156,-12.5,-35,-1.89,-5.26,-13.3,-38.2,-5.06,-14);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9919','2023',29.4,-4.14,-12.3,1.26,-1.83,-59.2,4.29,-4.94,-4.86,-1.9,-64.2,-16.5,-7.71,6.59,9.21,351,22.4,30.3,3.37,4.71,24.9,35.4,8.98,12.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9919','2022',33.5,-6.76,-16.8,3.09,-4.92,-61.4,9.23,-10.7,-2.96,-4.5,-292,-8.82,-12.6,-2.63,-3.61,-366,-7.83,-10.3,-1.34,-1.84,-10.5,-13.9,-3.84,-5.27);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9919','2021',40.3,-10.6,-20.8,8.01,-7.01,-46.7,19.9,-9.65,1.54,-6.85,-81.6,3.83,-12.7,0.99,-7.81,-88.8,2.45,-14.9,0.5,-4,3.42,-29,1.43,-12.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9919','2020',50.9,10.3,25.4,15,8.93,146,29.5,14.5,8.39,8.13,3137,16.5,15.9,8.8,8.68,7248,17.3,17.1,4.5,4.44,32.5,32.1,13.9,13.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9919','2019',40.6,5.23,14.8,6.1,0.56,10.1,15,-0.65,0.26,0.37,343,0.64,0.94,0.12,0.28,174,0.22,0.94,0.06,0.14,0.37,1.36,0.16,0.62);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9919','2018',35.3,-1.9,-5.1,5.54,-0.86,-13.4,15.7,-1.51,-0.11,-1.04,-111,-0.3,-2.82,-0.16,-1.3,-114,-0.72,-3.33,-0.08,-0.66,-1,-4.73,-0.46,-2.21);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9919','2017',37.2,-3.76,-9.18,6.4,0.58,9.89,17.2,2.98,0.94,0.79,559,2.51,2.17,1.14,5.56,126,2.61,16.2,0.58,2.84,3.73,22.7,1.75,10.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9919','2016',41,-3.74,-8.37,5.82,-0.4,-6.38,14.2,0.3,0.14,-0.01,-8.22,0.35,0,-4.43,-4.84,-1169,-13.6,-13.3,-2.26,-2.47,-18.9,-18.6,-9.07,-8.88);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9919','2015',44.8,1.14,2.62,6.22,0.37,6.32,13.9,0.48,0.15,0.52,143,0.35,1.18,0.41,-0.18,-30.5,-0.28,-0.17,0.21,-0.09,-0.38,-0.24,-0.18,-0.12);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('9919','2014',43.6,-0.72,-1.63,5.85,-0.22,-3.61,13.4,-0.28,-0.36,-0.3,-468,-0.83,-0.69,0.6,0.28,87.1,-0.11,0.31,0.3,0.14,-0.14,0.4,-0.07,0.2);
