insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4109','25Q1',1.33,-0.27,-17,0.48,-0.03,-6.17,36,4.14,0.11,-0.06,-34.4,8.08,-2.15,0.13,0,1.12,10.7,2.09,0.12,-0.02,3.76,-1.17,3.4,-0.58);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4109','2024',5.37,2.04,61.4,1.73,0.56,47.4,32.3,-3.07,0.33,0.99,150,6.18,26.1,2.11,0.67,46.6,40.2,-3.94,2.16,0.54,17.8,3.05,14.9,2.77);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4109','2023',3.33,0.15,4.73,1.18,0.01,0.97,35.4,-1.32,-0.66,-0.53,-384,-19.9,-15.6,1.44,1.5,2735,44.2,46.2,1.62,1.68,14.7,15.4,12.2,12.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4109','2022',3.18,0.75,31,1.17,0.33,39.1,36.7,2.12,-0.14,-0.13,-1371,-4.31,-3.92,-0.05,-0.11,-202,-2.03,-4.13,-0.06,-0.12,-0.69,-1.25,-0.64,-1.14);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4109','2021',2.42,-0.28,-10.3,0.84,0.42,101,34.5,19.1,-0.01,0.47,98.1,-0.38,17.5,0.05,0.37,117,2.1,14.2,0.06,0.52,0.55,4.63,0.51,4.05);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4109','2020',2.7,-0.73,-21.2,0.42,-0.46,-52.6,15.4,-10.2,-0.48,-0.28,-134,-17.9,-11.8,-0.32,-0.07,-30.4,-12.1,-4.98,-0.46,-0.1,-4.08,-0.61,-3.54,-1.07);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4109','2019',3.43,-0.59,-14.7,0.88,-0.22,-19.9,25.6,-1.68,-0.21,0.22,51.1,-6.03,4.49,-0.24,-0.27,-1090,-7.12,-7.2,-0.36,-0.4,-3.47,-3.51,-2.47,-2.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4109','2018',4.02,-1.2,-22.9,1.1,-0.22,-16.7,27.3,2.06,-0.42,0.17,28.6,-10.5,0.83,0.02,2.35,101,0.08,47,0.04,2.9,0.05,29.5,0.03,16.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4109','2017',5.22,-1.04,-16.7,1.32,-0.91,-40.9,25.3,-10.4,-0.59,-0.97,-257,-11.4,-17.4,-2.32,-2.44,-2096,-46.9,-49.8,-2.86,-3.01,-29.5,-31.3,-16.5,-17.6);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4109','2016',6.26,-1.71,-21.5,2.23,-0.74,-25,35.6,-1.67,0.38,-0.6,-61.4,6.03,-6.23,0.12,-0.26,-69.3,2.88,-2.34,0.15,-0.36,1.85,-2.43,1.12,-1.76);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4109','2015',7.97,2.09,35.4,2.97,1.08,56.6,37.3,5.04,0.98,0.93,1772,12.3,11.4,0.38,0.17,85,5.21,3.96,0.51,0.22,4.28,3.49,2.87,2.27);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4109','2014',5.89,-0.09,-1.57,1.9,-0.05,-2.64,32.2,-0.36,0.05,0.02,47.6,0.89,0.3,0.2,-0.02,-7.3,1.25,-1.35,0.29,-0.08,0.8,-1.12,0.6,-0.81);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4109','2013',5.98,-0.31,-4.96,1.95,0.02,1.23,32.6,1.99,0.04,-0.26,-87.9,0.59,-4.06,0.22,-0.08,-27,2.61,0.11,0.37,-0.18,1.92,-0.23,1.41,-0.05);
