insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4804','25Q1',0.28,0.02,5.94,-0.02,-0.01,-173,-6.26,-3.83,-0.1,0.12,55.5,-34.4,47.6,-0.15,0.16,52.4,-53.1,65.1,-0.31,0.37,-141,12,-19.9,12.3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4804','2024',1.19,-1.19,-50.1,0.28,-0.65,-70,23.3,-15.5,-0.45,0.25,36.2,-37.5,-8.16,-0.67,0.88,56.8,-56.1,8.73,-1.47,1.94,-102,-17.3,-19,2.32);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4804','2023',2.38,-0.35,-12.8,0.93,-0.1,-9.97,38.8,1.21,-0.7,1.21,63.4,-29.3,40.4,-1.55,0.74,32.2,-64.9,25.3,-3.41,1.62,-84.4,-21.5,-21.3,-0.3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4804','2022',2.73,-0.67,-19.6,1.03,-0.4,-28.2,37.6,-4.51,-1.91,-1.96,-3657,-69.7,-71.3,-2.28,-2.22,-3767,-90.2,-84.1,-5.03,-4.9,-63,-58.9,-21,-19.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4804','2021',3.4,0.1,3.15,1.43,0.61,73.6,42.1,17.1,0.05,0.17,147,1.58,5.05,-0.06,-0.15,-165,-6.11,3.37,-0.13,-0.34,-4.08,1.97,-1.51,0.65);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4804','2020',3.3,-0.8,-19.6,0.83,-0.25,-23.2,25,-1.19,-0.11,0.02,14.2,-3.47,-0.22,0.09,0.06,153,-9.47,-1.7,0.21,0.13,-6.04,0.64,-2.16,0.41);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4804','2019',4.1,-4.33,-51.4,1.07,-0.47,-30.5,26.2,7.86,-0.13,0.33,71.4,-3.25,2.28,0.04,2.29,102,-7.78,19,0.08,6.6,-6.68,35.6,-2.56,15.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4804','2018',8.43,-4.84,-36.5,1.55,-3.12,-66.9,18.3,-16.9,-0.47,-1.74,-137,-5.53,-15.2,-2.25,-2.97,-413,-26.7,-32.2,-6.52,-8.59,-42.2,-52.5,-18.4,-24.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4804','2017',13.3,0.83,6.71,4.67,-1.37,-22.7,35.2,-13.4,1.28,-0.7,-35.6,9.62,-6.31,0.72,-0.89,-55.3,5.43,-7.52,2.07,-2.42,10.2,-11.9,5.65,-8.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4804','2016',12.4,2.03,19.5,6.04,0.21,3.67,48.6,-7.41,1.98,0.23,13.4,15.9,-0.85,1.61,0.33,25.5,12.9,0.62,4.49,-0.6,22.2,-1.95,14.5,-0.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4804','2015',10.4,4.92,89.7,5.82,2.36,68.2,56,-7.15,1.75,1.04,148,16.8,3.97,1.28,0.72,128,12.3,2.06,5.09,2.43,24.1,3.68,15.1,2.45);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4804','2014',5.49,3.33,154,3.46,2.09,152,63.1,-0.69,0.7,0.47,197,12.8,1.85,0.56,0.37,196,10.3,1.46,2.66,0.54,20.5,1.56,12.7,3.18);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4804','2013',2.16,1.29,148,1.38,1,270,63.8,21.1,0.24,0.49,194,11,39.7,0.19,0.38,203,8.81,31.3,2.12,6.7,18.9,85.3,9.52,25.3);
