insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','25Q1',12.3,1.71,16.2,3.96,0.84,26.8,32.3,2.71,0.73,0.13,21.7,5.93,0.27,0.22,0,-1.85,4.06,-0.15,0.5,-0.01,8.75,0.47,3.77,-0.03);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2024',47.7,2.24,4.94,14.5,1.03,7.65,30.4,0.77,3.33,-0.32,-8.87,6.99,-1.06,1.05,-0.1,-8.51,4.98,-0.82,2.35,-0.22,10.6,-0.5,4.75,-0.85);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2023',45.4,1.66,3.8,13.5,0.99,7.94,29.6,1.14,3.65,0.15,4.33,8.04,0.04,1.15,-0.66,-36.4,5.79,-2.55,2.57,-1.47,11.1,-8.83,5.6,-5.39);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2022',43.8,29.1,199,12.5,7.35,144,28.5,-6.44,3.5,3.04,654,8,4.83,1.8,1.51,525,8.34,4.99,4.04,3.39,19.9,15.5,11,8.37);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2021',14.6,0.64,4.55,5.11,-0.4,-7.28,34.9,-4.46,0.46,-0.51,-52.2,3.17,-3.77,0.29,-0.33,-53.5,3.35,-2.66,0.65,-0.74,4.42,-3.14,2.62,-2.21);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2020',14,0.21,1.49,5.52,0.04,0.69,39.4,-0.31,0.97,-0.16,-14,6.94,-1.25,0.62,-0.13,-17.7,6,-1,1.39,-0.3,7.57,-1.23,4.83,-0.91);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2019',13.8,1.47,11.9,5.48,0.82,17.6,39.7,1.91,1.13,0.2,20.8,8.19,0.61,0.75,0.09,13.1,7,0.7,1.69,0.19,8.79,1.59,5.73,0.91);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2018',12.3,1.96,18.9,4.66,0.84,22,37.8,0.95,0.94,0.24,35.3,7.59,0.92,0.67,0.2,43,6.3,1.51,1.5,0.45,7.2,2.4,4.82,1.41);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2017',10.4,1.61,18.4,3.82,0.75,24.2,36.8,1.73,0.69,0.16,29,6.67,0.55,0.47,0,0.63,4.79,-0.47,1.05,0,4.8,0.25,3.41,0.09);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2016',8.76,-0.61,-6.56,3.08,-0.01,-0.31,35.1,2.2,0.54,0.49,1028,6.12,5.61,0.46,-0.72,-60.7,5.26,-7,1.05,-2.01,4.55,-9.4,3.32,-6.27);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4116','2015',9.38,-0.78,-7.66,3.08,-0.55,-15.2,32.9,-2.93,0.05,-0.9,-95,0.51,-8.86,1.18,0.4,51.3,12.3,4.81,3.06,1,13.9,0.92,9.6,1.41);
