insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6239','25Q1',155,-28.3,-15.5,26.4,-5.66,-17.6,17,-0.45,15.5,-4.97,-24.3,9.99,-1.17,11.8,-5.61,-32.3,10.2,-1.31,1.58,-0.74,8.74,-3.26,5.81,-1.83);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6239','2024',733,28.7,4.08,140,13.8,11,19.1,1.18,93.8,12.3,15.1,12.8,1.22,67.9,-12.2,-15.2,11.6,-1.91,9.09,-1.63,12.1,-1.97,7.71,-0.55);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6239','2023',704,-135,-16.1,126,-47.7,-27.4,17.9,-2.8,81.5,-42.9,-34.5,11.6,-3.26,80.1,-6.78,-7.81,13.5,0.69,10.72,-0.88,14,-2.55,8.26,-0.79);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6239','2022',839,1.33,0.16,174,-19.2,-9.94,20.7,-2.32,124,-20.8,-14.3,14.8,-2.5,86.9,-2.12,-2.38,12.8,-1.18,11.6,0.06,16.6,-2.68,9.05,-1.26);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6239','2021',838,76.1,9.99,193,42.7,28.4,23,3.3,145,38.1,35.5,17.3,3.26,89,22.4,33.6,14,3.26,11.54,2.94,19.3,4.83,10.3,2.74);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6239','2020',762,96.6,14.5,150,23.5,18.6,19.7,0.67,107,20.1,23,14.1,0.97,66.6,8.24,14.1,10.7,0.4,8.6,1.08,14.4,1.7,7.58,1.05);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6239','2019',665,-15.1,-2.23,127,-11.5,-8.34,19.1,-1.27,87.1,-10.7,-11,13.1,-1.28,58.4,-3.96,-6.35,10.3,-0.7,7.52,-0.5,12.7,-1.88,6.53,-0.86);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6239','2018',680,84.1,14.1,138,11.3,8.91,20.3,-0.97,97.8,7.1,7.82,14.4,-0.84,62.3,3.85,6.58,11,-1.19,8.02,0.51,14.6,-0.89,7.39,-0.72);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6239','2017',596,113,23.4,127,22.4,21.4,21.3,-0.35,90.7,14.4,18.9,15.2,-0.57,58.5,10.1,21,12.2,-0.2,7.51,1.31,15.5,1.58,8.11,0.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6239','2016',483,58.2,13.7,105,22.4,27.3,21.6,2.31,76.3,19.9,35.2,15.8,2.52,48.3,8.19,20.4,12.4,0.58,6.2,1,13.9,1.56,7.91,0.77);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6239','2015',425,24.8,6.2,82.2,15.6,23.5,19.3,2.7,56.4,14.1,33.4,13.3,2.7,40.2,7.76,24,11.9,0.8,5.2,0.96,12.4,0.81,7.14,0.88);
