insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','25Q1',22.9,0.51,2.3,5.92,1.1,22.8,25.9,4.33,-0.18,1.42,89,-0.77,6.36,-0.43,1.03,70.4,-1.9,4.65,-0.3,0.7,-5.23,13.9,-1.81,4.74);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2024',101,2.62,2.66,26.5,6.65,33.5,26.2,6.06,3.29,9.48,153,3.26,9.55,1.36,5.76,131,1.35,5.82,0.93,3.96,4.27,20,1.44,5.93);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2023',98.4,-18.3,-15.7,19.9,-3.01,-13.2,20.2,0.59,-6.19,-2.49,-67.1,-6.29,-3.12,-4.4,-12.4,-155,-4.47,-11.4,-3.03,-8.9,-15.7,-47.4,-4.49,-12.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2022',117,-7.76,-6.24,22.9,-3.46,-13.1,19.6,-1.56,-3.7,-5.83,-274,-3.17,-4.88,8.04,7.03,701,6.89,6.09,5.87,5.11,31.7,27.9,7.66,6.64);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2021',124,10.1,8.84,26.3,-1.51,-5.42,21.1,-3.19,2.13,-3.25,-60.4,1.71,-2.99,1,-2.04,-67.1,0.8,-1.87,0.76,-1.64,3.84,-8.3,1.02,-2.43);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2020',114,-1.37,-1.18,27.8,1.45,5.5,24.3,1.54,5.37,1.88,53.9,4.7,1.68,3.05,1.33,76.9,2.66,1.16,2.4,1.02,12.1,5.12,3.45,1.36);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2019',116,-2.2,-1.86,26.4,-1.52,-5.46,22.8,-0.87,3.49,-1.46,-29.5,3.02,-1.18,1.72,-1.81,-51.2,1.5,-1.5,1.38,-1.46,7.03,-7.18,2.08,-2.34);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2018',118,-0.25,-0.21,27.9,-1.03,-3.58,23.7,-0.83,4.95,-1.47,-22.9,4.2,-1.24,3.53,-0.57,-13.9,3,-0.47,2.84,-0.46,14.2,-2.56,4.42,-0.97);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2017',118,44.4,60.1,28.9,11,60.9,24.5,0.12,6.42,1.34,26.3,5.43,-1.46,4.1,0.09,2.17,3.47,-1.96,3.3,0.16,16.8,0.3,5.38,-1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2016',73.8,6.48,9.63,18,5.2,40.6,24.4,5.37,5.09,2.07,68.5,6.89,2.41,4.02,3.31,465,5.43,4.39,3.14,2.54,16.5,13.5,6.39,5.05);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2015',67.3,1.42,2.16,12.8,1.52,13.5,19,1.89,3.02,0.84,38.6,4.48,1.18,0.71,-0.89,-55.7,1.05,-1.39,0.6,-0.8,3,-4.78,1.33,-1.87);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6220','2014',65.9,8.24,14.3,11.3,2.1,23,17.1,1.21,2.18,1.76,423,3.31,2.58,1.6,1.51,1694,2.44,2.28,1.4,1.32,7.78,7.28,3.21,3);
