insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4402','25Q1',0.07,-0.03,-27.7,0.01,0,8.09,16.7,5.54,-0.04,0.03,40.8,-57.4,12.7,-0.02,0.05,69.8,-29.7,41.3,-0.03,0.07,-1.37,4.44,-1.33,4.14);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4402','2024',0.18,-0.59,-76.1,0.03,0.04,250,14.5,16.8,-0.24,0.17,42.1,-128,-74.9,-0.06,0.14,68.8,-33.7,-7.9,-0.09,0.34,-1.15,4.16,-1.1,2.69);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4402','2023',0.77,-0.95,-55.2,-0.02,-0.23,-108,-2.32,-14.9,-0.41,-0.29,-247,-52.7,-45.9,-0.2,-0.12,-150,-25.8,-21.2,-0.43,-0.26,-5.31,-2.45,-3.79,-2.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4402','2022',1.72,0.18,11.9,0.22,0.22,51667,12.6,12.6,-0.12,0.25,67.9,-6.82,17,-0.08,0.31,79.8,-4.64,21,-0.17,0.69,-2.86,10.2,-1.39,5.31);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4402','2021',1.53,0.34,28.3,0,-0.02,-102,-0.03,-1.58,-0.36,0.02,4.93,-23.8,8.31,-0.39,0.11,21.5,-25.6,16.3,-0.86,0.23,-13,1.42,-6.7,1.96);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4402','2020',1.2,-0.46,-27.8,0.02,0.06,144,1.55,4.08,-0.38,0.09,19,-32.1,-3.46,-0.5,-3.64,-116,-41.9,-231,-1.09,-7.91,-14.4,-160,-8.66,-47.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4402','2019',1.66,-0.77,-31.8,-0.04,0.23,84.8,-2.53,8.85,-0.47,0.31,39.2,-28.6,3.5,3.13,5.21,251,189,275,6.82,11.32,146,274,39.1,58.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4402','2018',2.43,0.27,12.6,-0.28,0.01,2.94,-11.4,1.82,-0.78,0,-0.34,-32.1,3.91,-2.07,-1.59,-334,-85.3,-63.2,-4.5,-3.46,-128,-111,-19.3,-14.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4402','2017',2.16,-1.9,-46.9,-0.28,0.08,22.6,-13.2,-4.14,-0.78,0.7,47.3,-36,0.26,-0.48,-1,-191,-22.1,-35,-1.04,-2.19,-16.5,-39.7,-4.53,-9.38);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4402','2016',4.06,-4.97,-55,-0.37,0.67,64.7,-9.06,2.47,-1.47,0.07,4.65,-36.3,-19.2,0.52,2.59,125,12.9,36.6,1.15,5.64,23.2,110,4.86,21.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4402','2015',9.03,-5.26,-36.8,-1.04,-0.38,-56.9,-11.5,-6.88,-1.55,-0.37,-31.1,-17.1,-8.86,-2.06,-0.75,-57.3,-23.7,-12.9,-4.49,-1.64,-87,-51.3,-17,-6.39);
