insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3583','25Q1',28.1,5.68,25.3,8.93,2.82,46.2,31.8,4.55,3.49,1.43,69.2,12.4,3.22,2.57,0.48,22.7,9.58,0.24,3.2,0.59,21.3,0.35,4.56,0.23);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3583','2024',96.9,27.8,40.2,29.1,7.04,32,30,-1.85,11.2,3.98,55.4,11.5,1.13,9.27,2.77,42.5,9.57,0.16,11.54,3.44,20.7,3.53,4.37,0.49);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3583','2023',69.1,12.6,22.3,22,1.17,5.62,31.8,-5.04,7.18,0.07,1.05,10.4,-2.19,6.5,0.82,14.4,9.41,-0.66,8.1,1.02,17.2,0.23,3.88,-1.08);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3583','2022',56.5,9.66,20.6,20.8,4.17,25,36.9,1.3,7.1,1.55,27.9,12.6,0.72,5.69,1.49,35.4,10.1,1.1,7.08,1.85,16.9,2.89,4.96,-1.45);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3583','2021',46.8,11,30.8,16.7,2.11,14.5,35.6,-5.08,5.55,0.9,19.4,11.9,-1.13,4.2,1.14,37.5,8.97,0.43,5.23,1.43,14.1,2.88,6.4,-0.85);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3583','2020',35.8,-3.69,-9.35,14.6,0.72,5.19,40.7,5.62,4.65,0.77,20,13,3.17,3.05,-0.17,-5.34,8.53,0.36,3.8,-0.22,11.2,-1.42,7.25,-1.31);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3583','2019',39.5,-0.39,-0.97,13.8,-0.64,-4.44,35,-1.27,3.88,-1.26,-24.5,9.81,-3.07,3.23,-0.95,-22.8,8.17,-2.3,4.02,-1.14,12.6,-4.82,8.57,-2.61);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3583','2018',39.9,4.49,12.7,14.5,1.97,15.8,36.3,0.96,5.14,0.91,21.5,12.9,0.93,4.18,0.89,27.2,10.5,1.19,5.16,1.11,17.4,2.59,11.2,1.87);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3583','2017',35.4,0.44,1.26,12.5,0.73,6.21,35.4,1.65,4.23,0.8,23.4,11.9,2.14,3.28,0.36,12.3,9.28,0.91,4.05,0.45,14.8,0.46,9.31,1.11);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3583','2016',34.9,5.53,18.8,11.8,2.75,30.5,33.7,3.02,3.43,2.18,176,9.8,5.58,2.92,2.07,241,8.37,5.45,3.6,2.54,14.4,9.95,8.2,5.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3583','2015',29.4,2.26,8.31,9.03,-0.67,-6.91,30.7,-5.02,1.24,-1.73,-58.1,4.23,-6.71,0.86,-1.61,-65.2,2.92,-6.16,1.06,-1.98,4.41,-8.25,2.41,-4.92);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3583','2014',27.2,-3.51,-11.4,9.7,-0.13,-1.31,35.7,3.66,2.97,-0.57,-16.1,10.9,-0.6,2.46,-0.03,-1.17,9.07,0.94,3.04,-0.09,12.7,-1.64,7.33,-0.55);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3583','2013',30.7,8.15,36.2,9.83,1.9,23.9,32,-3.18,3.54,1.4,65.9,11.5,2.06,2.49,0.72,40.6,8.13,0.25,3.13,0.73,14.3,2.4,7.88,2.43);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3583','2012',22.5,-5.09,-18.4,7.93,-0.51,-6.04,35.2,4.65,2.13,0.28,15,9.47,2.75,1.77,1,130,7.88,5.02,2.4,1.19,11.9,6.13,5.45,3.13);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3583','2011',27.6,4.86,21.3,8.44,3.01,55.5,30.6,6.71,1.86,1.94,2203,6.72,7.11,0.77,0.72,1286,2.86,5.44,1.21,1.12,5.78,10.2,2.33,4.13);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3583','2010',22.8,9.09,66.5,5.43,1.42,35.6,23.9,-5.45,-0.09,0.28,75.7,-0.39,2.27,0.06,-0.41,-88.2,-2.57,-2.34,0.09,-0.71,-4.39,-4.16,-1.81,-1.71);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3583','2009',13.7,-3.06,-18.3,4,-0.71,-15.1,29.3,1.1,-0.36,-0.31,-634,-2.66,-2.36,0.47,0.46,4385,-0.23,1.28,0.8,0.78,-0.23,1.59,-0.1,0.7);
