insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2338','25Q1',16.3,-2.22,-12,1.82,-1.48,-44.8,11.2,-6.66,-1.37,-1.21,-778,-8.42,-7.57,-2.57,-9.31,-138,-19.9,-52,-1.2,-4.36,-32.6,-78,-6.28,-17.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2338','2024',75.6,3.62,5.03,14.2,-4.15,-22.6,18.8,-6.7,2.21,-5.27,-70.4,2.93,-7.47,-4.73,-8.39,-229,-10.4,-12.7,-2.21,-3.96,-17.1,-20.6,-3.76,-4.6);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2338','2023',72,-5.41,-6.99,18.4,-2.62,-12.5,25.5,-1.6,7.49,-5,-40,10.4,-5.73,3.66,-3.37,-48,2.28,-3.47,1.75,-1.62,3.44,-6.13,0.84,-1.77);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2338','2022',77.4,16.6,27.4,21,6.89,48.9,27.1,3.92,12.5,8.14,188,16.1,8.98,7.04,-4.43,-38.6,5.76,-8.19,3.37,-2.09,9.58,-10.8,2.62,-4.09);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2338','2021',60.8,14.1,30.2,14.1,4.66,49.4,23.2,2.98,4.34,0.9,26.1,7.14,-0.23,11.5,4.63,67.7,13.9,3.52,5.46,2.12,20.4,5.56,6.71,0.15);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2338','2020',46.7,12,34.5,9.43,3.31,54,20.2,2.55,3.44,3.37,4596,7.37,7.16,6.84,2.53,58.6,10.4,1.43,3.34,1.15,14.8,3.85,6.56,0.05);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2338','2019',34.7,5.83,20.2,6.12,-0.17,-2.64,17.7,-4.14,0.07,-2.52,-97.2,0.21,-8.78,4.31,2.32,116,8.99,3.94,2.19,1.17,11,5.18,6.51,2.32);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2338','2018',28.9,14.6,102,6.29,3.85,158,21.8,4.72,2.6,2.67,3384,8.99,9.55,1.99,2.73,369,5.05,11.3,1.02,1.35,5.77,8.88,4.18,6.84);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2338','2017',14.3,2.31,19.3,2.44,1.95,402,17.1,13,-0.08,1.65,95.4,-0.55,13.9,-0.74,0.91,55.1,-6.21,13.7,-0.33,0.38,-3.11,3.88,-2.66,3.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2338','2016',12,-2.89,-19.4,0.49,-1.43,-74.7,4.05,-8.83,-1.73,-0.75,-76.8,-14.5,-7.88,-1.65,-1.28,-346,-20,-11.3,-0.71,-0.56,-6.98,-3.54,-6.35,-3.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2338','2015',14.9,-2.81,-15.9,1.91,-1.4,-42.3,12.9,-5.9,-0.98,-1.34,-370,-6.59,-8.65,-0.37,-0.97,-162,-8.69,-11.9,-0.15,-0.4,-3.44,-4.88,-3.16,-4.48);
