insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6288','25Q1',14.6,0.75,5.41,2.13,0.09,4.57,14.5,-0.12,0.23,0.16,243,1.58,1.09,0.32,-0.16,-33.2,2.17,-1.26,0.15,-0.09,3.86,-2.55,1.7,-1.14);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6288','2024',55.4,12.2,28.1,7.99,1.96,32.5,14.4,0.47,0.05,0.6,109,0.09,1.37,0.85,0.75,734,1.54,1.31,0.42,0.37,2.77,2.38,1.24,1.07);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6288','2023',43.3,5,13.1,6.03,-0.05,-0.78,14,-1.95,-0.55,0.73,56.8,-1.28,2.07,0.1,-0.06,-37.9,0.24,-0.19,0.05,-0.04,0.39,-0.3,0.17,-0.12);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6288','2022',38.3,2.11,5.85,6.08,-0.96,-13.6,15.9,-3.58,-1.28,-1.85,-326,-3.35,-4.92,0.17,0.06,58.5,0.43,0.14,0.09,0.03,0.69,0.26,0.29,0.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6288','2021',36.1,-1.63,-4.31,7.04,-0.79,-10.1,19.5,-1.25,0.57,-1.32,-69.9,1.57,-3.42,0.1,-1.33,-92.7,0.29,-3.51,0.06,-0.79,0.43,-5.52,0.19,-2.62);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6288','2020',37.8,-5.25,-12.2,7.83,-0.59,-6.95,20.7,1.17,1.89,-0.67,-26.2,4.99,-0.95,1.44,-0.63,-30.4,3.8,-0.99,0.85,-0.36,5.94,-3.06,2.81,-1.69);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6288','2019',43,9.14,27,8.41,1.66,24.6,19.6,-0.37,2.55,0.84,49.2,5.94,0.88,2.06,0.58,39,4.79,0.41,1.21,0.3,9,1.55,4.5,0.78);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6288','2018',33.9,7.52,28.5,6.75,1.93,40.1,19.9,1.65,1.71,0.94,122,5.05,2.13,1.48,0.78,110,4.38,1.7,0.91,0.44,7.45,3.44,3.72,1.62);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6288','2017',26.4,1.64,6.65,4.82,-0.33,-6.42,18.3,-2.55,0.77,-0.57,-42.4,2.92,-2.49,0.71,-0.33,-31.7,2.68,-1.5,0.47,-0.21,4,-1.82,2.1,-1.41);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6288','2016',24.7,-0.93,-3.64,5.15,0.66,14.8,20.8,3.35,1.34,0.73,119,5.41,3.03,1.03,0.47,82.7,4.18,1.98,0.68,0.26,5.82,2.28,3.51,1.55);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6288','2015',25.6,5.54,27.5,4.48,0.56,14.1,17.5,-2.05,0.61,0.44,259,2.38,1.53,0.57,0.48,539,2.2,1.76,0.42,0.35,3.54,2.92,1.96,1.64);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6288','2014',20.1,2.93,17.1,3.93,0.25,6.72,19.5,-1.89,0.17,-0.46,-72.9,0.84,-2.79,0.09,-0.37,-80.6,0.44,-2.22,0.07,-0.28,0.62,-2.67,0.33,-1.62);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6288','2013',17.2,3.35,24.2,3.68,0.72,24.1,21.4,-0.02,0.62,0.3,89.6,3.64,1.25,0.46,0.62,381,2.66,3.83,0.35,0.48,3.29,4.47,1.95,2.72);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6288','2012',13.8,1.39,11.2,2.97,0.16,5.59,21.4,-1.14,0.33,-0.14,-29.1,2.38,-1.35,-0.16,-0.4,-167,-1.17,-3.11,-0.13,-0.32,-1.18,-2.92,-0.77,-2.03);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6288','2011',12.4,-0.39,-3.02,2.81,0.25,9.89,22.6,2.65,0.46,0.03,6.23,3.74,0.33,0.24,-0.1,-28.6,1.94,-0.69,0.19,-0.1,1.74,-0.99,1.26,-0.86);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6288','2010',12.8,1.85,16.8,2.56,0.69,37.1,19.9,2.94,0.44,0.45,3446,3.41,3.53,0.34,0.16,89.4,2.63,1.29,0.29,0.12,2.73,1.35,2.12,1.08);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6288','2009',11,-5.89,-34.9,1.86,-1.07,-36.5,17,-0.43,-0.01,-0.86,-102,-0.12,-5.12,0.18,-0.89,-83.3,1.34,-4.7,0.17,-0.95,1.39,-8.69,1.04,-6.3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6288','2008',16.9,null,null,2.94,null,null,17.4,null,0.84,null,null,5,null,1.06,null,null,6.04,null,1.12,null,10.1,null,7.34,null);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6288','2005',8.91,2.72,44,1.3,0.07,5.94,14.6,-5.27,-0.99,-1.13,-825,-11.1,-13.3,-0.43,-0.18,-71.7,-13.3,-9.3,-1.01,-0.42,-23.1,-16.8,-13.6,-9.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6288','2004',6.18,null,null,1.23,null,null,19.9,null,0.14,null,null,2.21,null,-0.25,null,null,-4.04,null,-0.59,null,-6.27,null,-3.88,null);
