insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3581','25Q1',3.57,0.3,9.25,1.28,0.27,27.4,35.9,5.11,0.28,0.32,742,7.77,9.09,-0.12,-0.13,-730,0.59,-3.37,-0.23,-0.27,0.82,-4.41,0.41,-2.19);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3581','2024',13.8,-0.83,-5.65,4.58,0.24,5.49,33.3,3.51,0.58,-0.12,-17.4,4.17,-0.59,0.31,0.03,10.5,5.25,1.13,0.6,0.05,7.26,1.1,3.63,0.65);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3581','2023',14.6,-0.49,-3.24,4.35,-1.32,-23.3,29.8,-7.78,0.7,-0.9,-56.3,4.77,-5.78,0.28,-0.36,-56.5,4.12,-1.86,0.55,-0.71,6.16,-3.27,2.99,-1.56);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3581','2022',15.1,2.02,15.4,5.67,0.43,8.19,37.5,-2.51,1.59,0.11,7.1,10.6,-0.82,0.64,-0.44,-40.4,5.98,-3.77,1.26,-0.85,9.43,-4.48,4.55,-2.62);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3581','2021',13.1,1.09,9.12,5.24,0.49,10.4,40,0.45,1.49,0.24,19.4,11.4,0.98,1.08,0.31,40.5,9.75,0.03,2.11,0.61,13.9,0.5,7.17,-0.13);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3581','2020',12,0.18,1.54,4.75,0.13,2.84,39.6,0.5,1.25,0.4,46.8,10.4,3.2,0.77,0.23,42.7,9.72,3.6,1.5,0.45,13.4,4.94,7.3,2.65);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3581','2019',11.8,0.15,1.27,4.61,0.28,6.58,39.1,1.95,0.85,0.15,22.1,7.19,1.23,0.54,0.17,48,6.12,1.49,1.05,0.34,8.47,2.3,4.65,1.24);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3581','2018',11.7,-0.56,-4.62,4.33,-0.16,-3.51,37.1,0.43,0.7,-0.3,-29.9,5.97,-2.15,0.36,-0.41,-52.8,4.63,-3.08,0.71,-0.79,6.18,-4.39,3.42,-2.53);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3581','2017',12.2,3.36,38,4.49,1.07,31.4,36.7,-1.84,0.99,0.3,42.9,8.12,0.28,0.77,0.25,47.3,7.71,1.32,1.5,0.48,10.6,3.72,5.95,1.51);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3581','2016',8.86,0.6,7.21,3.41,0.01,0.21,38.6,-2.69,0.69,-0.19,-21.4,7.83,-2.85,0.52,0.06,11.9,6.4,0.75,1.02,0.11,6.85,0.18,4.43,-0.36);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3581','2015',8.26,-0.54,-6.17,3.41,0.31,10.2,41.2,6.12,0.88,0.19,27,10.7,2.79,0.47,-0.46,-49.8,5.65,-4.92,0.91,-1.13,6.67,-8.39,4.79,-5.41);
