insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8926','25Q1',19.6,-0.5,-2.47,2.13,0.3,16.2,10.8,1.74,1.09,0.24,27.6,5.56,1.31,3.54,0.47,15.4,18,2.86,0.48,0.06,9.1,1.34,5.18,0.54);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8926','2024',91.3,38.5,72.8,8.13,2.8,52.7,8.9,-1.18,4.36,4.38,20430,4.77,4.81,13.5,0.97,7.77,14.7,-8.76,1.85,0.03,8.7,-0.36,5.04,0.18);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8926','2023',52.8,6.15,13.2,5.33,-1.05,-16.5,10.1,-3.58,-0.02,-2.38,-101,-0.04,-5.09,12.5,3.46,38.1,23.5,3.87,1.82,0.28,9.06,1.36,4.86,1.12);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8926','2022',46.7,-17.4,-27.1,6.38,-1.67,-20.7,13.7,1.1,2.36,-2.04,-46.4,5.05,-1.82,9.07,0.09,0.99,19.6,5.51,1.54,0.02,7.7,0.2,3.74,-0.11);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8926','2021',64.1,-29.1,-31.2,8.04,0.53,6.99,12.6,4.48,4.4,-0.29,-6.19,6.87,1.83,8.98,-1.71,-16,14.1,2.64,1.52,-0.29,7.49,-1.32,3.85,-1.08);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8926','2020',93.1,21.3,29.6,7.52,2.09,38.4,8.07,0.51,4.69,1.66,54.9,5.04,0.82,10.7,-0.3,-2.69,11.5,-3.76,1.81,-0.05,8.81,-0.33,4.93,-0.96);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8926','2019',71.9,33.7,88.4,5.43,0.66,13.8,7.56,-4.96,3.03,0.4,15.3,4.22,-2.67,11,4.26,63.3,15.3,-2.28,1.86,0.72,9.15,3.51,5.9,1.72);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8926','2018',38.1,26,215,4.77,1.67,53.9,12.5,-13.1,2.63,1.64,165,6.89,-1.32,6.72,-3,-30.8,17.5,-62.4,1.14,-0.51,5.63,-2.58,4.18,-2.21);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8926','2017',12.1,0.31,2.67,3.1,-0.24,-7.16,25.6,-2.71,0.99,-0.54,-35.3,8.21,-4.82,9.72,0.23,2.41,80,-0.59,1.65,0.04,8.22,0.02,6.39,0.05);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8926','2016',11.8,-3.69,-23.8,3.34,0.18,5.68,28.4,7.92,1.53,0.15,10.6,13,4.06,9.49,-1.13,-10.6,80.6,11.9,1.61,-0.19,8.2,-1.1,6.33,-0.63);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8926','2015',15.5,-0.75,-4.65,3.16,0.53,20.1,20.4,4.21,1.39,0.83,148,8.97,5.52,10.6,-6.67,-38.6,68.6,-37.9,1.8,-1.13,9.3,-6.66,6.96,-4.82);
