insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3003','25Q1',10.1,-0.2,-1.97,2.49,-0.31,-11.1,24.7,-2.55,0.74,-0.55,-42.4,7.39,-5.18,0.71,-0.75,-51.6,7.39,-7,0.45,-0.49,4.5,-4.91,3.48,-3.63);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3003','2024',45.4,3.75,9,13.1,0.25,1.94,28.7,-1.99,6.44,-0.45,-6.54,14.2,-2.36,6.05,0.61,11.3,13.5,0.32,3.88,0.39,9.42,0.56,7.33,0.53);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3003','2023',41.7,-6.76,-13.9,12.8,-3.24,-20.2,30.7,-2.39,6.89,-2.94,-29.9,16.5,-3.77,5.43,-3.52,-39.3,13.2,-5.44,3.49,-2.26,8.86,-6.69,6.8,-4.24);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3003','2022',48.5,0.53,1.11,16.1,-0.95,-5.6,33.1,-2.36,9.83,-1.38,-12.3,20.3,-3.1,8.95,1.2,15.5,18.6,2.26,5.75,0.77,15.5,0.45,11,0.75);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3003','2021',47.9,14.1,41.7,17,6.26,58.3,35.5,3.73,11.2,5.25,88.1,23.4,5.78,7.75,4.14,115,16.4,5.5,4.98,2.66,15.1,7.33,10.3,4.81);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3003','2020',33.8,-1.2,-3.41,10.7,-0.35,-3.16,31.8,0.08,5.96,0.18,3.07,17.6,1.11,3.61,-0.61,-14.5,10.8,-1.4,2.32,-0.39,7.77,-1.62,5.48,-1.22);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3003','2019',35,-0.32,-0.91,11.1,-0.66,-5.64,31.7,-1.59,5.78,-0.78,-11.8,16.5,-2.05,4.22,-0.57,-11.9,12.2,-1.49,2.71,-0.37,9.39,-1.3,6.69,-1.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3003','2018',35.3,2.24,6.77,11.8,-0.21,-1.78,33.3,-2.9,6.56,-0.41,-5.86,18.6,-2.49,4.79,-0.19,-3.84,13.7,-1.51,3.08,-0.12,10.7,-0.79,7.79,-0.65);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3003','2017',33.1,3.23,10.8,12,1.3,12.2,36.1,0.45,6.97,1.3,23,21,2.08,4.98,1.1,28.2,15.2,2.11,3.2,0.71,11.5,2.08,8.44,1.43);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3003','2016',29.9,0.28,0.95,10.7,1.3,13.9,35.7,4.07,5.67,1.02,22,19,3.28,3.88,0.11,2.79,13.1,0.31,2.49,0.04,9.4,-0.2,7.01,-0.39);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3003','2015',29.6,-0.98,-3.21,9.36,0.36,4.04,31.6,2.21,4.64,0.01,0.3,15.7,0.55,3.78,-0.11,-2.71,12.8,0.01,2.45,-0.14,9.6,-1.57,7.4,-0.81);
