insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','25Q1',3.83,1,35.2,1.35,1.39,3273,35.2,36.7,-0.16,1.48,90.1,-4.25,53.7,-0.07,1.29,94.6,-1.91,46.1,-0.12,2.2,-2.07,64.7,-1.35,24.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','2024',39.5,30.6,344,11.7,9.83,530,29.6,8.74,4.56,8.25,223,11.6,53.1,4.86,8.32,241,12.3,51.2,8.29,14.19,42,74.3,24.1,43.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','2023',8.89,-10.3,-53.7,1.85,-4.09,-68.8,20.9,-10.1,-3.69,-3.56,-2785,-41.5,-40.9,-3.46,-3.55,-3830,-38.9,-39.4,-5.9,-6.06,-32.3,-33,-19.7,-20.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','2022',19.2,2.58,15.5,5.95,0.6,11.1,30.9,-1.23,-0.13,0.08,37,-0.67,0.56,0.09,0.35,136,0.48,2.05,0.16,0.62,0.74,2.7,0.52,1.86);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','2021',16.6,-9.53,-36.4,5.35,-3.08,-36.5,32.2,-0.04,-0.2,-2.9,-108,-1.22,-11.5,-0.26,-2.3,-113,-1.57,-9.35,-0.46,-4.42,-1.96,-19.5,-1.34,-12.3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','2020',26.2,1.66,6.79,8.43,0.89,11.8,32.2,1.44,2.7,0.81,43,10.3,2.62,2.03,0.44,27.2,7.78,1.25,3.96,0.67,17.6,-0.88,10.9,1.53);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','2019',24.5,-12.1,-33,7.54,-2.28,-23.2,30.8,3.93,1.89,-1.4,-42.6,7.71,-1.29,1.6,-1.08,-40.3,6.53,-0.79,3.29,-3.09,18.4,-20.5,9.38,-8.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','2018',36.6,16.9,85.9,9.81,3.77,62.3,26.8,-3.92,3.29,2.21,204,9,3.49,2.68,1.86,227,7.32,3.15,6.38,4.34,38.9,24.1,18.3,10.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','2017',19.7,5.24,36.3,6.05,1.76,40.9,30.8,1,1.08,1.22,904,5.5,6.44,0.82,0.75,1156,4.17,3.72,2.04,1.88,14.9,13.7,7.39,6.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','2016',14.4,-0.79,-5.18,4.29,-0.02,-0.47,29.8,1.41,-0.13,0.14,51.1,-0.93,0.88,0.07,0.18,156,0.45,1.52,0.16,0.45,1.19,4.1,0.68,2.38);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('8089','2015',15.2,-8.91,-36.9,4.31,-2.42,-35.9,28.4,0.45,-0.28,-1.09,-134,-1.81,-5.2,-0.12,-0.59,-124,-1.07,-2.84,-0.29,-1.55,-2.91,-10.9,-1.7,-5.73);
