insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5222','25Q1',2.66,-0.12,-4.2,1.42,0.1,7.61,53.2,5.84,0.86,0.06,7.67,32.3,3.56,0.74,0.03,4.79,27.9,2.4,0.91,-0.05,12.8,-0.31,9.99,-0.3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5222','2024',13,0.51,4.07,6.84,-0.12,-1.76,52.5,-3.11,4.44,-0.22,-4.67,34.1,-3.13,3.96,-0.4,-9.21,30.4,-4.45,4.84,-1.04,16.8,-3.73,14.1,-3.14);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5222','2023',12.5,2.16,20.9,6.96,1.31,23.2,55.6,1.05,4.66,1.01,27.6,37.2,1.97,4.37,1.87,75,34.9,10.8,5.88,2.17,20.5,7.97,17.2,6.63);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5222','2022',10.3,1.18,12.9,5.65,0.7,14.2,54.6,0.62,3.65,0.53,16.8,35.3,1.2,2.49,0.03,1.16,24.1,-2.79,3.71,-0.33,12.5,-4.67,10.6,-3.49);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5222','2021',9.17,2.11,29.8,4.95,1.1,28.5,54,-0.57,3.12,1.06,51.2,34.1,4.82,2.47,0.82,50.3,26.9,3.66,4.04,-0.38,17.2,-5.71,14.1,-1.89);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5222','2020',7.06,1.36,23.9,3.85,0.74,23.8,54.5,-0.05,2.07,0.25,13.5,29.3,-2.69,1.64,0.23,16.5,23.2,-1.47,4.42,0.58,22.9,-6.64,16,-4.04);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5222','2019',5.7,2.09,57.9,3.11,1.37,79,54.6,6.45,1.82,1.08,147,31.9,11.5,1.41,0.9,179,24.7,10.7,3.84,2.38,29.5,16.3,20,10.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5222','2018',3.61,-0.35,-8.77,1.74,0.06,3.72,48.1,5.8,0.74,0.02,2.73,20.4,2.29,0.51,-0.02,-3.23,14,0.8,1.46,-0.06,13.2,-2.77,9.33,-1.31);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5222','2017',3.96,0.58,17.3,1.67,-0.19,-10,42.3,-12.8,0.72,-0.5,-41.2,18.1,-18,0.52,-0.55,-51.3,13.2,-18.6,1.52,-1.64,16,-28.2,10.6,-17.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5222','2016',3.37,1.89,127,1.86,1.1,143,55.2,3.75,1.22,1,464,36.2,21.6,1.07,0.86,396,31.8,17.2,3.16,2.45,44.2,27,28.3,18.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('5222','2015',1.49,0.35,30.4,0.76,0.55,255,51.4,32.6,0.22,0.56,163,14.6,44.8,0.22,0.54,166,14.5,43.3,0.71,1.91,17.2,63.8,9.79,34.8);
