insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2923','25Q1',8.15,-33.6,-80.5,4.22,-21.1,-83.3,51.8,-8.85,2.53,-21,-89.2,31,-25.3,-2.57,-9.05,-140,-58.7,-74.2,-0.15,-0.52,-3.68,-8.8,-1.46,-3.59);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2923','2024',85.6,-31.7,-27,50.2,-15,-23,58.6,3.05,35.8,-21.7,-37.8,41.8,-7.24,7.59,1.94,34.3,11.1,6.3,0.44,0.12,1.87,0.75,0.76,0.27);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2923','2023',117,25.1,27.2,65.1,10.4,19.1,55.5,-3.81,57.5,23.1,67.3,49,11.7,5.65,-0.27,-4.63,4.82,-1.61,0.32,-0.02,1.13,-0.02,0.48,-0.05);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2923','2022',92.2,44.2,92,54.7,28,105,59.3,3.79,34.4,16.1,88.2,37.3,-0.74,5.93,-5.78,-49.4,6.43,-18,0.34,-0.33,1.15,-1.04,0.53,-0.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2923','2021',48,-86.2,-64.2,26.7,-28.6,-51.7,55.5,14.4,18.3,-14.7,-44.7,38,13.4,11.7,-0.06,-0.54,24.4,15.6,0.67,-0.01,2.19,0.03,1.03,0.05);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2923','2020',134,76.8,134,55.2,26.7,93.7,41.2,-8.55,33,39.5,608,24.6,35.9,11.8,-70.3,-85.7,8.77,-134,0.68,-4.04,2.16,-13.1,0.98,-5.79);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2923','2019',57.4,-11.9,-17.2,28.5,-11.5,-28.7,49.7,-8.01,-6.49,-48.2,-116,-11.3,-71.5,82.1,65.8,403,143,120,4.72,3.78,15.3,12.2,6.77,5.38);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2923','2018',69.3,32.3,87.2,40,16.4,69.4,57.7,-6.04,41.7,15.6,59.9,60.2,-10.3,16.3,14.8,1004,23.6,18.4,0.94,0.86,3.07,2.71,1.39,1.22);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2923','2017',37,-37.5,-50.3,23.6,-18.4,-43.8,63.8,7.45,26.1,-23.7,-47.6,70.5,3.62,1.48,-22.5,-93.8,5.13,-27.6,0.08,-1.3,0.35,-4.03,0.17,-1.89);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2923','2016',74.5,-53.3,-41.7,42,-16.9,-28.8,56.3,10.2,49.8,-33.2,-40,66.9,1.9,24,-10.7,-30.9,32.7,3.87,1.38,-0.62,4.38,-2.1,2.06,-0.98);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2923','2015',128,51,66.3,58.9,19.1,48.1,46.1,-5.65,83.1,4.02,5.09,65,-37.9,34.7,5.75,19.8,28.9,-11.7,2,0.33,6.47,0.71,3.04,0.28);
