insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1468','25Q1',2.46,-0.03,-1.25,0.51,0.18,56.2,20.5,7.54,0.22,0.21,3356,8.75,8.5,0.41,0.01,3.41,16.7,-0.58,0.26,0.01,11.1,-2.29,5.66,-0.47);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1468','2024',10.8,0.25,2.41,1.76,0.99,129,16.3,9.02,0.42,1,171,3.86,9.43,1.51,1.24,456,15.7,10.3,0.94,0.77,12.4,7.92,5.91,3.84);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1468','2023',10.5,-3.6,-25.5,0.77,0.59,323,7.3,6.01,-0.59,0.45,43.6,-5.57,1.79,0.27,-0.1,-26.5,5.32,2.78,0.17,-0.06,4.5,1.56,2.07,0.89);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1468','2022',14.1,2.73,23.9,0.18,-1.11,-86,1.29,-10.1,-1.04,-1.02,-4953,-7.36,-7.18,0.37,0.27,284,2.54,1.31,0.23,0.17,2.94,1.8,1.18,0.74);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1468','2021',11.4,1.78,18.5,1.3,0.12,9.99,11.4,-0.88,-0.02,0,10.8,-0.18,0.06,0.1,-0.32,-76.8,1.23,-3.47,0.06,-0.2,1.14,-2.57,0.45,-1.21);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1468','2020',9.62,-0.48,-4.75,1.18,0.59,99,12.3,6.39,-0.02,0.51,95.7,-0.24,5.03,0.42,-0.09,-17.3,4.7,-0.45,0.26,-0.05,3.7,-0.93,1.66,-0.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1468','2019',10.1,0.89,9.63,0.59,-0.8,-57.3,5.87,-9.21,-0.53,-0.27,-104,-5.27,-2.43,0.5,0.11,29.7,5.15,0.73,0.31,0.07,4.64,0.71,2.05,0.36);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1468','2018',9.21,3.22,53.6,1.39,0.93,202,15.1,7.42,-0.26,0.78,74.9,-2.83,14.5,0.39,1.33,141,4.42,21.6,0.24,0.83,3.92,13.5,1.7,6.02);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1468','2017',5.99,0.23,3.98,0.46,-0.9,-66.2,7.66,-15.9,-1.04,-1.12,-1347,-17.3,-18.8,-0.94,-0.54,-136,-17.1,-9.24,-0.59,-0.34,-9.61,-5.66,-4.33,-2.46);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1468','2016',5.77,-0.06,-0.99,1.36,0.59,77.8,23.6,10.4,0.08,0.47,121,1.44,8.17,-0.4,0.12,23.8,-7.89,2.43,-0.25,0.08,-3.95,1.01,-1.87,0.57);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1468','2015',5.82,-0.06,-1.03,0.76,0.3,65.9,13.1,5.29,-0.39,0.41,51.3,-6.73,6.93,-0.53,0.05,9.02,-10.3,0.97,-0.33,0.03,-4.97,0.26,-2.44,0.24);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1468','2014',5.88,-1.78,-23.2,0.46,-0.64,-58.3,7.83,-6.6,-0.8,-0.31,-62.6,-13.7,-7.21,-0.58,-0.1,-20.9,-11.3,-4.88,-0.36,-0.06,-5.22,-1.5,-2.68,-0.69);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1468','2013',7.66,-0.4,-4.96,1.11,1.93,233,14.4,24.7,-0.49,1.88,79.2,-6.45,23.1,-0.48,2.01,80.8,-6.41,27.1,-0.3,1.25,-3.72,14.3,-1.99,8.09);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1468','2012',8.06,-3.19,-28.4,-0.83,-0.69,-492,-10.3,-9.04,-2.38,-0.66,-38.6,-29.5,-14.3,-2.49,-4.52,-223,-33.5,-49.9,-1.55,-2.81,-18,-29.9,-10.1,-16.3);
