insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','23Q3',0.3,-0.9,-74.8,0.02,0.04,245,7.04,8.26,0.09,1.24,108,31.2,127,1.21,2.51,193,396,508,1.86,3.86,28.4,54.7,21.6,42.8);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2022',1.32,-2.11,-61.5,0,-0.87,-100,-0.2,-25.4,-1.59,-1.86,-672,-120,-128,-2.35,-2.77,-665,-184,-196,-3.61,-4.3,-38.7,-45.1,-30.4,-35.6);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2021',3.43,-0.68,-16.5,0.87,0.6,221,25.2,18.7,0.28,0.48,238,8.07,13,0.42,0.68,256,12,18.5,0.69,1.13,6.46,11.9,5.21,9.7);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2020',4.11,2.9,238,0.27,0.13,87.9,6.56,-5.25,-0.2,0.26,56.5,-4.88,33.1,-0.27,0.06,17.4,-6.55,20.6,-0.44,0.1,-5.4,1.16,-4.49,0.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2019',1.22,-1.44,-54.1,0.14,-0.37,-72.1,11.8,-7.63,-0.46,-0.42,-1124,-38,-36.5,-0.32,-0.46,-340,-27.1,-32.3,-0.54,-0.78,-6.56,-9.89,-4.99,-6.76);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2018',2.65,0.41,18.5,0.52,0.39,314,19.4,13.9,-0.04,0.5,93,-1.42,22.7,0.13,1.43,110,5.17,64,0.24,3.46,3.33,39.5,1.77,17.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2017',2.24,0.07,3.19,0.12,-0.02,-15.5,5.57,-1.24,-0.54,0.63,54.1,-24.1,30.1,-1.29,3.84,74.8,-58.9,179,-3.22,3.52,-36.2,47.8,-16.1,39.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2016',2.17,-0.9,-29.3,0.15,0.49,143,6.81,17.9,-1.17,1.21,50.8,-54.1,23.6,-5.13,-2.68,-110,-238,-153,-6.74,-3.31,-84,-54.7,-55.3,-31.5);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2015',3.06,-2.23,-42.1,-0.34,-0.43,-473,-11.1,-12.8,-2.38,-1.3,-121,-77.7,-57.3,-2.45,-1.08,-79.6,-84.8,-58.2,-3.43,-1.41,-29.3,-12.7,-23.7,-11);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2014',5.29,2.22,72.4,0.09,-0.21,-70.1,1.72,-8.22,-1.08,-0.58,-114,-20.4,-3.99,-1.36,-0.7,-107,-26.6,-5.14,-2.02,-0.78,-16.7,-6.3,-12.7,-5.01);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2013',3.07,-0.77,-20,0.31,-0.12,-28.5,9.95,-1.18,-0.5,-0.38,-295,-16.4,-13.1,-0.66,-1.11,-247,-21.5,-33.2,-1.24,-2.1,-10.4,-18.4,-7.67,-14);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2012',3.84,-0.25,-6.02,0.43,0.21,93.4,11.1,5.72,-0.13,0.2,61.6,-3.32,4.81,0.45,0.85,212,11.7,21.5,0.86,1.63,8.01,15.1,6.32,11.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2011',4.08,0.13,3.28,0.22,-0.25,-53.5,5.41,-6.61,-0.33,-0.31,-1167,-8.13,-7.47,-0.4,-0.78,-205,-9.85,-19.5,-0.77,-1.52,-7.11,-13.9,-5.56,-11.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('3089','2010',3.95,1.28,48,0.48,0.15,47.3,12,-0.05,-0.03,0.09,78.2,-0.66,3.83,0.38,0.4,2226,9.65,10.3,0.75,0.79,6.76,7.07,5.54,5.8);
